SchoolYear,leaType,County_Name,lea,DistrictCode,gradeLevel,teacherTotal,studentTotal,population
2022,Charters,New Castle,First State Montessori Academy,9606,All Levels,33,600,95977
2022,Charters,New Castle,Freire Charter School Wilmington,9612,All Levels,32,503,95977
2022,Charters,New Castle,Gateway Charter School,92,All Levels,21,178,95977
2022,Charters,New Castle,Great Oaks Charter School,9611,All Levels,23,285,95977
2022,Charters,New Castle,Kuumba Academy Charter School,82,All Levels,56,637,95977
2022,Charters,New Castle,MOT Charter School,88,All Levels,77,1376,95977
2022,Charters,New Castle,Newark Charter School,89,All Levels,146,2458,95977
2022,Charters,New Castle,Odyssey Charter School,86,All Levels,144,1988,95977
2022,Charters,Sussex,Sussex Academy,77,All Levels,62,1120,35609
2022,Charters,Sussex,Sussex Montessori School,9614,All Levels,16,341,35609
2022,Districts,Kent,Caesar Rodney School District,10,All Levels,580,8092,32997
2022,Districts,Kent,Capital School District,13,All Levels,484,6261,32997
2022,Districts,Kent,Lake Forest School District,15,All Levels,249,3488,32997
2022,Districts,Kent,Milford School District,18,All Levels,291,4329,32997
2022,Districts,Kent,POLYTECH School District,39,All Levels,89,1196,32997
2022,Districts,Kent,Smyrna School District,24,All Levels,388,5922,32997
2022,Districts,New Castle,Appoquinimink School District,29,All Levels,821,12290,95977
2022,Districts,New Castle,Brandywine School District,31,All Levels,802,10185,95977
2022,Districts,New Castle,Christina School District,33,All Levels,1103,13153,95977
2022,Districts,New Castle,Colonial School District,34,All Levels,689,9364,95977
2022,Districts,New Castle,New Castle County Vocational-Technical School District,38,All Levels,364,4726,95977
2022,Districts,New Castle,Red Clay Consolidated School District,32,All Levels,1187,16162,95977
2022,Districts,Sussex,Cape Henlopen School District,17,All Levels,492,5964,35609
2022,Districts,Sussex,Delmar School District,37,All Levels,73,1424,35609
2022,Districts,Sussex,Indian River School District,36,All Levels,800,10488,35609
2022,Districts,Sussex,Laurel School District,16,All Levels,179,2523,35609
2022,Districts,Sussex,Seaford School District,23,All Levels,234,3232,35609
2022,Districts,Sussex,Sussex Technical School District,40,All Levels,87,1306,35609
2022,Districts,Sussex,Woodbridge School District,35,All Levels,176,2462,35609
2023,Charters,Kent,Academy of Dover Charter School,85,All Levels,29,411,32958
2023,Charters,Kent,Campus Community School,74,All Levels,27,402,32958
2023,Charters,Kent,Early College High School at Del State,9604,All Levels,27,519,32958
2023,Charters,Kent,First State Military Academy,9607,All Levels,24,439,32958
2023,Charters,Kent,Positive Outcomes Charter School,71,All Levels,15,115,32958
2023,Charters,Kent,Providence Creek Academy Charter School,87,All Levels,45,730,32958
2023,Charters,New Castle,ASPIRA Delaware,69,All Levels,88,1341,95566
2023,Charters,New Castle,Academia Antonia Alonso,9605,All Levels,43,718,95566
2023,Charters,New Castle,Charter School of New Castle,80,All Levels,42,752,95566
2023,Charters,New Castle,East Side Charter School,72,All Levels,37,472,95566
2023,Charters,New Castle,Edison (Thomas A.) Charter School,76,All Levels,37,632,95566
2023,Charters,New Castle,First State Montessori Academy,9606,All Levels,34,629,95566
2023,Charters,New Castle,Freire Charter School Wilmington,9612,All Levels,27,450,95566
2023,Charters,New Castle,Gateway Charter School,92,All Levels,24,186,95566
2023,Charters,New Castle,Great Oaks Charter School,9611,All Levels,14,217,95566
2023,Charters,New Castle,Kuumba Academy Charter School,82,All Levels,56,643,95566
2023,Charters,New Castle,MOT Charter School,88,All Levels,71,1383,95566
2023,Charters,New Castle,Newark Charter School,89,All Levels,175,2987,95566
2023,Charters,New Castle,Odyssey Charter School,86,All Levels,163,2123,95566
2023,Charters,Sussex,Sussex Academy,77,All Levels,61,1118,35782
2023,Charters,Sussex,Sussex Montessori School,9614,All Levels,19,403,35782
2023,Districts,Kent,Caesar Rodney School District,10,All Levels,591,8199,32958
2023,Districts,Kent,Capital School District,13,All Levels,446,6259,32958
2023,Districts,Kent,Lake Forest School District,15,All Levels,243,3558,32958
2023,Districts,Kent,Milford School District,18,All Levels,290,4390,32958
2023,Districts,Kent,POLYTECH School District,39,All Levels,93,1203,32958
2023,Districts,Kent,Smyrna School District,24,All Levels,388,5945,32958
2023,Districts,New Castle,Appoquinimink School District,29,All Levels,877,12609,95566
2023,Districts,New Castle,Brandywine School District,31,All Levels,808,10119,95566
2023,Districts,New Castle,Christina School District,33,All Levels,1114,12787,95566
2023,Districts,New Castle,Colonial School District,34,All Levels,654,8952,95566
2023,Districts,New Castle,New Castle County Vocational-Technical School District,38,All Levels,376,4732,95566
2023,Districts,New Castle,Red Clay Consolidated School District,32,All Levels,1186,16066,95566
2023,Districts,Sussex,Cape Henlopen School District,17,All Levels,515,6198,35782
2023,Districts,Sussex,Delmar School District,37,All Levels,70,1424,35782
2023,Districts,Sussex,Indian River School District,36,All Levels,794,10611,35782
2023,Districts,Sussex,Laurel School District,16,All Levels,169,2537,35782
2023,Districts,Sussex,Seaford School District,23,All Levels,228,3419,35782
2023,Districts,Sussex,Sussex Technical School District,40,All Levels,88,1292,35782
2023,Districts,Sussex,Woodbridge School District,35,All Levels,187,2458,35782
2024,Charters,Kent,Academy of Dover Charter School,85,All Levels,27,415,32816
2024,Charters,Kent,Campus Community School,74,All Levels,27,403,32816
2024,Charters,Kent,Early College High School at Del State,9604,All Levels,20,533,32816
2024,Charters,Kent,First State Military Academy,9607,All Levels,25,416,32816
2024,Charters,Kent,Positive Outcomes Charter School,71,All Levels,14,122,32816
2024,Charters,Kent,Providence Creek Academy Charter School,87,All Levels,47,741,32816
2024,Charters,New Castle,ASPIRA Delaware,69,All Levels,95,1444,94761
2024,Charters,New Castle,Academia Antonia Alonso,9605,All Levels,47,805,94761
2024,Charters,New Castle,Charter School of New Castle,80,All Levels,35,764,94761
2024,Charters,New Castle,East Side Charter School,72,All Levels,38,446,94761
2024,Charters,New Castle,Edison (Thomas A.) Charter School,76,All Levels,41,601,94761
2024,Charters,New Castle,First State Montessori Academy,9606,All Levels,36,643,94761
2024,Charters,New Castle,Freire Charter School Wilmington,9612,All Levels,27,411,94761
2024,Charters,New Castle,Gateway Charter School,92,All Levels,24,191,94761
2024,Charters,New Castle,Great Oaks Charter School,9611,All Levels,8,145,94761
2024,Charters,New Castle,Kuumba Academy Charter School,82,All Levels,49,599,94761
2024,Charters,New Castle,MOT Charter School,88,All Levels,77,1396,94761
2024,Charters,New Castle,Newark Charter School,89,All Levels,183,3047,94761
2024,Charters,New Castle,Odyssey Charter School,86,All Levels,179,2192,94761
2024,Charters,Sussex,Sussex Academy,77,All Levels,56,1158,35944
2024,Charters,Sussex,Sussex Montessori School,9614,All Levels,22,439,35944
2024,Districts,Kent,Caesar Rodney School District,10,All Levels,578,8139,32816
2024,Districts,Kent,Capital School District,13,All Levels,404,6384,32816
2024,Districts,Kent,Lake Forest School District,15,All Levels,236,3609,32816
2024,Districts,Kent,Milford School District,18,All Levels,288,4516,32816
2024,Districts,Kent,POLYTECH School District,39,All Levels,90,1225,32816
2024,Districts,Kent,Smyrna School District,24,All Levels,383,5882,32816
2024,Districts,New Castle,Appoquinimink School District,29,All Levels,867,12713,94761
2024,Districts,New Castle,Brandywine School District,31,All Levels,820,10078,94761
2024,Districts,New Castle,Christina School District,33,All Levels,1105,12795,94761
2024,Districts,New Castle,Colonial School District,34,All Levels,618,8578,94761
2024,Districts,New Castle,New Castle County Vocational-Technical School District,38,All Levels,376,4824,94761
2024,Districts,New Castle,Red Clay Consolidated School District,32,All Levels,1179,15795,94761
2024,Districts,Sussex,Cape Henlopen School District,17,All Levels,545,6440,35944
2024,Districts,Sussex,Delmar School District,37,All Levels,74,1446,35944
2024,Districts,Sussex,Indian River School District,36,All Levels,816,10575,35944
2024,Districts,Sussex,Laurel School District,16,All Levels,157,2467,35944
2024,Districts,Sussex,Seaford School District,23,All Levels,221,3435,35944
2024,Districts,Sussex,Sussex Technical School District,40,All Levels,89,1323,35944
2024,Districts,Sussex,Woodbridge School District,35,All Levels,194,2466,35944
2025,Charters,Kent,Academy of Dover Charter School,85,All Levels,29,443,32616
2025,Charters,Kent,Campus Community School,74,All Levels,20,409,32616
2025,Charters,Kent,Early College High School at Del State,9604,All Levels,24,583,32616
2025,Charters,Kent,First State Military Academy,9607,All Levels,24,433,32616
2025,Charters,Kent,Positive Outcomes Charter School,71,All Levels,13,119,32616
2025,Charters,Kent,Providence Creek Academy Charter School,87,All Levels,49,769,32616
2025,Charters,New Castle,ASPIRA Delaware,69,All Levels,81,1471,93949
2025,Charters,New Castle,Academia Antonia Alonso,9605,All Levels,48,910,93949
2025,Charters,New Castle,Charter School of New Castle,80,All Levels,34,788,93949
2025,Charters,New Castle,East Side Charter School,72,All Levels,37,434,93949
2025,Charters,New Castle,Edison (Thomas A.) Charter School,76,All Levels,36,557,93949
2025,Charters,New Castle,First State Montessori Academy,9606,All Levels,34,657,93949
2025,Charters,New Castle,Freire Charter School Wilmington,9612,All Levels,17,406,93949
2025,Charters,New Castle,Gateway Charter School,92,All Levels,23,211,93949
2025,Charters,New Castle,Great Oaks Charter School,9611,All Levels,8,149,93949
2025,Charters,New Castle,Kuumba Academy Charter School,82,All Levels,43,594,93949
2025,Charters,New Castle,MOT Charter School,88,All Levels,80,1407,93949
2025,Charters,New Castle,Newark Charter School,89,All Levels,190,3109,93949
2025,Charters,New Castle,Odyssey Charter School,86,All Levels,182,2286,93949
2025,Charters,Sussex,Bryan Allen Stevenson School of Excellence,9615,All Levels,5,208,35914
2025,Charters,Sussex,Sussex Academy,77,All Levels,58,1182,35914
2025,Charters,Sussex,Sussex Montessori School,9614,All Levels,16,383,35914
2025,Districts,Kent,Caesar Rodney School District,10,All Levels,550,8225,32616
2025,Districts,Kent,Capital School District,13,All Levels,364,6318,32616
2025,Districts,Kent,Lake Forest School District,15,All Levels,227,3644,32616
2025,Districts,Kent,Milford School District,18,All Levels,271,4444,32616
2025,Districts,Kent,POLYTECH School District,39,All Levels,79,1228,32616
2025,Districts,Kent,Smyrna School District,24,All Levels,368,5767,32616
2025,Districts,New Castle,Appoquinimink School District,29,All Levels,899,12664,93949
2025,Districts,New Castle,Brandywine School District,31,All Levels,792,10032,93949
2025,Districts,New Castle,Christina School District,33,All Levels,1077,12663,93949
2025,Districts,New Castle,Colonial School District,34,All Levels,599,8347,93949
2025,Districts,New Castle,New Castle County Vocational-Technical School District,38,All Levels,373,4853,93949
2025,Districts,New Castle,Red Clay Consolidated School District,32,All Levels,1143,15633,93949
2025,Districts,Sussex,Cape Henlopen School District,17,All Levels,547,6505,35914
2025,Districts,Sussex,Delmar School District,37,All Levels,76,1437,35914
2025,Districts,Sussex,Indian River School District,36,All Levels,794,10519,35914
2025,Districts,Sussex,Laurel School District,16,All Levels,154,2486,35914
2025,Districts,Sussex,Seaford School District,23,All Levels,204,3598,35914
2025,Districts,Sussex,Sussex Technical School District,40,All Levels,87,1341,35914
2025,Districts,Sussex,Woodbridge School District,35,All Levels,190,2525,35914
2026,Charters,Kent,Academy of Dover Charter School,85,All Levels,27,454,32460
2026,Charters,Kent,Campus Community School,74,All Levels,26,402,32460
2026,Charters,Kent,Early College High School at Del State,9604,All Levels,22,597,32460
2026,Charters,Kent,First State Military Academy,9607,All Levels,25,424,32460
2026,Charters,Kent,Positive Outcomes Charter School,71,All Levels,13,117,32460
2026,Charters,Kent,Providence Creek Academy Charter School,87,All Levels,54,786,32460
2026,Charters,New Castle,ASPIRA Delaware,69,All Levels,94,1475,93111
2026,Charters,New Castle,Academia Antonia Alonso,9605,All Levels,50,923,93111
2026,Charters,New Castle,Charter School of New Castle,80,All Levels,41,759,93111
2026,Charters,New Castle,East Side Charter School,72,All Levels,39,460,93111
2026,Charters,New Castle,Edison (Thomas A.) Charter School,76,All Levels,33,538,93111
2026,Charters,New Castle,First State Montessori Academy,9606,All Levels,41,648,93111
2026,Charters,New Castle,Freire Charter School Wilmington,9612,All Levels,24,370,93111
2026,Charters,New Castle,Gateway Charter School,92,All Levels,23,211,93111
2026,Charters,New Castle,Great Oaks Charter School,9611,All Levels,7,141,93111
2026,Charters,New Castle,Kuumba Academy Charter School,82,All Levels,40,556,93111
2026,Charters,New Castle,MOT Charter School,88,All Levels,85,1390,93111
2026,Charters,New Castle,Newark Charter School,89,All Levels,203,3156,93111
2026,Charters,New Castle,Odyssey Charter School,86,All Levels,206,2402,93111
2026,Charters,Sussex,Bryan Allen Stevenson School of Excellence,9615,All Levels,6,123,35639
2026,Charters,Sussex,Sussex Academy,77,All Levels,64,1190,35639
2026,Charters,Sussex,Sussex Montessori School,9614,All Levels,20,392,35639
2026,Districts,Kent,Caesar Rodney School District,10,All Levels,586,8227,32460
2026,Districts,Kent,Capital School District,13,All Levels,419,6211,32460
2026,Districts,Kent,Lake Forest School District,15,All Levels,256,3679,32460
2026,Districts,Kent,Milford School District,18,All Levels,296,4442,32460
2026,Districts,Kent,POLYTECH School District,39,All Levels,89,1252,32460
2026,Districts,Kent,Smyrna School District,24,All Levels,386,5588,32460
2026,Districts,New Castle,Appoquinimink School District,29,All Levels,903,12723,93111
2026,Districts,New Castle,Brandywine School District,31,All Levels,817,9790,93111
2026,Districts,New Castle,Christina School District,33,All Levels,1111,12256,93111
2026,Districts,New Castle,Colonial School District,34,All Levels,622,8039,93111
2026,Districts,New Castle,New Castle County Vocational-Technical School District,38,All Levels,383,4938,93111
2026,Districts,New Castle,Red Clay Consolidated School District,32,All Levels,1171,15512,93111
2026,Districts,Sussex,Cape Henlopen School District,17,All Levels,588,6575,35639
2026,Districts,Sussex,Delmar School District,37,All Levels,81,1461,35639
2026,Districts,Sussex,Indian River School District,36,All Levels,775,10445,35639
2026,Districts,Sussex,Laurel School District,16,All Levels,171,2451,35639
2026,Districts,Sussex,Seaford School District,23,All Levels,220,3557,35639
2026,Districts,Sussex,Sussex Technical School District,40,All Levels,96,1349,35639
2026,Districts,Sussex,Woodbridge School District,35,All Levels,192,2557,35639
2027,NA,Kent,NA,NA,NA,NA,NA,32470
2027,NA,New Castle,NA,NA,NA,NA,NA,92815
2027,NA,Sussex,NA,NA,NA,NA,NA,35612
2028,NA,Kent,NA,NA,NA,NA,NA,32465
2028,NA,New Castle,NA,NA,NA,NA,NA,92491
2028,NA,Sussex,NA,NA,NA,NA,NA,35374
2029,NA,Kent,NA,NA,NA,NA,NA,32498
2029,NA,New Castle,NA,NA,NA,NA,NA,92456
2029,NA,Sussex,NA,NA,NA,NA,NA,35128
2030,NA,Kent,NA,NA,NA,NA,NA,32688
2030,NA,New Castle,NA,NA,NA,NA,NA,92669
2030,NA,Sussex,NA,NA,NA,NA,NA,34923
2031,NA,Kent,NA,NA,NA,NA,NA,32629
2031,NA,New Castle,NA,NA,NA,NA,NA,92446
2031,NA,Sussex,NA,NA,NA,NA,NA,35007
2032,NA,Kent,NA,NA,NA,NA,NA,32621
2032,NA,New Castle,NA,NA,NA,NA,NA,92540
2032,NA,Sussex,NA,NA,NA,NA,NA,35087
2033,NA,Kent,NA,NA,NA,NA,NA,32688
2033,NA,New Castle,NA,NA,NA,NA,NA,92606
2033,NA,Sussex,NA,NA,NA,NA,NA,35292
2034,NA,Kent,NA,NA,NA,NA,NA,32733
2034,NA,New Castle,NA,NA,NA,NA,NA,92616
2034,NA,Sussex,NA,NA,NA,NA,NA,35452
2035,NA,Kent,NA,NA,NA,NA,NA,32717
2035,NA,New Castle,NA,NA,NA,NA,NA,92336
2035,NA,Sussex,NA,NA,NA,NA,NA,35658
2036,NA,Kent,NA,NA,NA,NA,NA,32715
2036,NA,New Castle,NA,NA,NA,NA,NA,92262
2036,NA,Sussex,NA,NA,NA,NA,NA,35944
2037,NA,Kent,NA,NA,NA,NA,NA,32806
2037,NA,New Castle,NA,NA,NA,NA,NA,92149
2037,NA,Sussex,NA,NA,NA,NA,NA,36286
2038,NA,Kent,NA,NA,NA,NA,NA,32904
2038,NA,New Castle,NA,NA,NA,NA,NA,92254
2038,NA,Sussex,NA,NA,NA,NA,NA,36683
2039,NA,Kent,NA,NA,NA,NA,NA,33150
2039,NA,New Castle,NA,NA,NA,NA,NA,92502
2039,NA,Sussex,NA,NA,NA,NA,NA,37112
2040,NA,Kent,NA,NA,NA,NA,NA,33304
2040,NA,New Castle,NA,NA,NA,NA,NA,92687
2040,NA,Sussex,NA,NA,NA,NA,NA,37742
2041,NA,Kent,NA,NA,NA,NA,NA,33320
2041,NA,New Castle,NA,NA,NA,NA,NA,92266
2041,NA,Sussex,NA,NA,NA,NA,NA,38125
2042,NA,Kent,NA,NA,NA,NA,NA,33331
2042,NA,New Castle,NA,NA,NA,NA,NA,91814
2042,NA,Sussex,NA,NA,NA,NA,NA,38700
2043,NA,Kent,NA,NA,NA,NA,NA,33350
2043,NA,New Castle,NA,NA,NA,NA,NA,91362
2043,NA,Sussex,NA,NA,NA,NA,NA,39262
2044,NA,Kent,NA,NA,NA,NA,NA,33310
2044,NA,New Castle,NA,NA,NA,NA,NA,90934
2044,NA,Sussex,NA,NA,NA,NA,NA,39285
2045,NA,Kent,NA,NA,NA,NA,NA,33344
2045,NA,New Castle,NA,NA,NA,NA,NA,90543
2045,NA,Sussex,NA,NA,NA,NA,NA,39270
2046,NA,Kent,NA,NA,NA,NA,NA,33325
2046,NA,New Castle,NA,NA,NA,NA,NA,90176
2046,NA,Sussex,NA,NA,NA,NA,NA,39208
2047,NA,Kent,NA,NA,NA,NA,NA,33319
2047,NA,New Castle,NA,NA,NA,NA,NA,89818
2047,NA,Sussex,NA,NA,NA,NA,NA,39093
2048,NA,Kent,NA,NA,NA,NA,NA,33309
2048,NA,New Castle,NA,NA,NA,NA,NA,89466
2048,NA,Sussex,NA,NA,NA,NA,NA,38929
2049,NA,Kent,NA,NA,NA,NA,NA,33311
2049,NA,New Castle,NA,NA,NA,NA,NA,89129
2049,NA,Sussex,NA,NA,NA,NA,NA,38716
2050,NA,Kent,NA,NA,NA,NA,NA,33301
2050,NA,New Castle,NA,NA,NA,NA,NA,88792
2050,NA,Sussex,NA,NA,NA,NA,NA,38434
